"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT05","WT06","WT08","WT09"
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-03",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-05",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-07",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-08",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-09",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-10",,,,,"0.10",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-11",,,,,"0.25",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-12",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-13",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-15",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-17",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-18",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-19",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-20",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-21",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-22",,,,,"0.23",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-23",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-24",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-25",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-29",,,,,"0.21",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-08-31",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-03",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-04",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-05",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-06",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-07",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-08",,,,,"0.21",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-09",,,,,"0.42",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-10",,,,,"0.21",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-11",,,,,"0.19",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-12",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-13",,,,,"0.43",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-14",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-15",,,,,"0.68",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-16",,,,,"0.82",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-17",,,,,"0.91",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-18",,,,,"0.59",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-19",,,,,"0.13",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-20",,,,,"0.09",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-21",,,,,"0.11",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-22",,,,,"0.13",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-23",,,,,"0.26",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-24",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-25",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-26",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-27",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-28",,,,,"0.18",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-29",,,,,"0.51",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-09-30",,,,,"0.37",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-01",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-02",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-03",,,,,"0.09",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-04",,,,,"0.13",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-07",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-11",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-13",,,,,"0.10",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-14",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-15",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-16",,,,,"0.05",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-17",,,,,"0.41",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-18",,,,,"0.52",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-19",,,,,"0.42",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-20",,,,,"0.08",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-21",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-22",,,,,"0.16",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-23",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-24",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-25",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-26",,,,,"0.28",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-27",,,,,"0.05",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-28",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-29",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-30",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-10-31",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-01",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-02",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-03",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-04",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-05",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-06",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-07",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-08",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-09",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-10",,,,,"0.09",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-11",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-12",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-13",,,,,"0.12",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-14",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1ORCC0107","MILWAUKIE 0.6 SSW, OR US","45.43617","-122.62389","53.0","2019-11-15",,,,,"0.14",,,,,,,,,,,,,,,,,,,,,
